pnptv-postgres  | 
pnptv-postgres  | PostgreSQL Database directory appears to contain a database; Skipping initialization
pnptv-postgres  | 
pnptv-postgres  | 2025-11-16 23:52:48.458 UTC [1] LOG:  starting PostgreSQL 15.15 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
pnptv-postgres  | 2025-11-16 23:52:48.458 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
pnptv-postgres  | 2025-11-16 23:52:48.459 UTC [1] LOG:  listening on IPv6 address "::", port 5432
pnptv-postgres  | 2025-11-16 23:52:48.461 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
pnptv-postgres  | 2025-11-16 23:52:48.466 UTC [28] LOG:  database system was shut down at 2025-11-16 23:52:18 UTC
pnptv-postgres  | 2025-11-16 23:52:48.472 UTC [1] LOG:  database system is ready to accept connections
pnptv-postgres  | 2025-11-16 23:57:48.557 UTC [26] LOG:  checkpoint starting: time
pnptv-postgres  | 2025-11-16 23:57:48.562 UTC [26] LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.006 s; sync files=2, longest=0.001 s, average=0.001 s; distance=0 kB, estimate=0 kB
pnptv-postgres  | 2025-11-16 23:59:34.655 UTC [1] LOG:  received fast shutdown request
pnptv-postgres  | 2025-11-16 23:59:34.657 UTC [1] LOG:  aborting any active transactions
pnptv-postgres  | 2025-11-16 23:59:34.691 UTC [1] LOG:  background worker "logical replication launcher" (PID 31) exited with exit code 1
pnptv-postgres  | 2025-11-16 23:59:34.700 UTC [26] LOG:  shutting down
pnptv-redis     | 1:C 16 Nov 2025 23:52:48.316 # WARNING Memory overcommit must be enabled! Without it, a background save or replication may fail under low memory condition. Being disabled, it can also cause failures without low memory condition, see https://github.com/jemalloc/jemalloc/issues/1328. To fix this issue add 'vm.overcommit_memory = 1' to /etc/sysctl.conf and then reboot or run the command 'sysctl vm.overcommit_memory=1' for this to take effect.
pnptv-redis     | 1:C 16 Nov 2025 23:52:48.318 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
pnptv-redis     | 1:C 16 Nov 2025 23:52:48.318 * Redis version=7.4.7, bits=64, commit=00000000, modified=0, pid=1, just started
pnptv-redis     | 1:C 16 Nov 2025 23:52:48.318 * Configuration loaded
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.318 * Increased maximum number of open files to 10032 (it was originally set to 1024).
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.318 * monotonic clock: POSIX clock_gettime
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.326 * Running mode=standalone, port=6379.
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.328 * Server initialized
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.330 * Reading RDB base file on AOF loading...
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.330 * Loading RDB produced by version 7.4.7
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.331 * RDB age 110797 seconds
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.331 * RDB memory usage when created 0.90 Mb
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.331 * RDB is base AOF
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.331 * Done loading RDB, keys loaded: 0, keys expired: 0.
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.331 * DB loaded from base file appendonly.aof.1.base.rdb: 0.001 seconds
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.353 * DB loaded from incr file appendonly.aof.1.incr.aof: 0.021 seconds
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.353 * DB loaded from append only file: 0.024 seconds
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.353 * Opening AOF incr file appendonly.aof.1.incr.aof on server start
pnptv-redis     | 1:M 16 Nov 2025 23:52:48.353 * Ready to accept connections tcp
pnptv-redis     | 1:M 16 Nov 2025 23:53:49.036 * 10000 changes in 60 seconds. Saving...
pnptv-redis     | 1:M 16 Nov 2025 23:53:49.037 * Background saving started by pid 59
pnptv-redis     | 59:C 16 Nov 2025 23:53:49.040 * DB saved on disk
pnptv-redis     | 59:C 16 Nov 2025 23:53:49.040 * Fork CoW for RDB: current 0 MB, peak 0 MB, average 0 MB
pnptv-redis     | 1:M 16 Nov 2025 23:53:49.137 * Background saving terminated with success
pnptv-redis     | 1:signal-handler (1763337574) Received SIGTERM scheduling shutdown...
pnptv-postgres  | 2025-11-16 23:59:34.708 UTC [26] LOG:  checkpoint starting: shutdown immediate
pnptv-postgres  | 2025-11-16 23:59:34.746 UTC [26] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.047 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB
pnptv-postgres  | 2025-11-16 23:59:34.799 UTC [1] LOG:  database system is shut down
pnptv-redis     | 1:M 16 Nov 2025 23:59:34.810 * User requested shutdown...
pnptv-redis     | 1:M 16 Nov 2025 23:59:34.810 * Calling fsync() on the AOF file.
pnptv-redis     | 1:M 16 Nov 2025 23:59:34.812 * Saving the final RDB snapshot before exiting.
pnptv-redis     | 1:M 16 Nov 2025 23:59:34.815 * DB saved on disk
pnptv-redis     | 1:M 16 Nov 2025 23:59:34.815 # Redis is now ready to exit, bye bye...
pnptv-bot       | 2025-11-16 23:59:51 [[33mwarn[39m]: Plan model not initialized - database not available yet
pnptv-bot       | 2025-11-16 23:59:52 [[32minfo[39m]: Using Mistral agent from env: agent_id
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: Starting PNPtv Telegram Bot...
